BN/Registration Number,Organization name,Charity Status,Type of qualified donee,Effective Date of Status,Sanction,Designation,Charity type,Category,Address,City,"Province, territory, outside of Canada",Country,Postal code/Zip code
794924274RR0001,A Canadian Hand Charitable Foundation,Registered,Charity,2019-06-25,,2,Other purposes beneficial to the community,210,14197 GREENCREST DRIVE,SURREY,BC,CA,V4P1L5
817305741RR0001,A CAPPELLA FOUNDATION,Registered,Charity,2005-11-28,,2,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
868384462RR0001,A CAPPELLA PLUS CHORAL SOCIETY,Registered,Charity,1998-07-08,,1,Other purposes beneficial to the community,160,P.O. BOX 333 STN A,NANAIMO,BC,CA,V9R5L3
786811810RR0001,A Forever Home Cat Rescue Society,Registered,Charity,2023-05-20,,1,Other purposes beneficial to the community,180,5442 EXTROM RD,CHILLIWACK,BC,CA,V2R4S7
791696313RR0001,A Home for Hooves Farm Sanctuary Foundation,Registered,Charity,2020-11-03,,1,Other purposes beneficial to the community,180,4275 HOWIE RD,DUNCAN,BC,CA,V9L6N3
851473116RR0001,A Life Well Lived Foundation,Registered,Charity,2010-09-21,,2,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
818619942RR0001,A LITTLE NIGHT MUSIC SOCIETY,Registered,Charity,2007-02-26,,1,Other purposes beneficial to the community,190,5832 WALLACE ST,VANCOUVER,BC,CA,V6N2A4
140951310RR0001,A LOVING SPOONFUL MEALS SOCIETY,Registered,Charity,1991-01-01,,1,Relief of Poverty,1,1449 POWELL ST,VANCOUVER,BC,CA,V5L1G8
820087484RR0001,A Rocha Canada Conservation Foundation,Registered,Charity,2013-02-18,,1,Other purposes beneficial to the community,160,1620 192 ST,SURREY,BC,CA,V3Z9V2
866638943RR0001,A ROCHA CANADA,Registered,Charity,2000-10-18,,1,Advancement of Religion,70,1620 192 ST,SURREY,BC,CA,V3Z9V2
888035466RR0001,A Society for a Vancouver Island Vocal Assembly,Registered,Charity,1992-01-01,,1,Advancement of Education,12,13490 ADSHEAD RD,LADYSMITH,BC,CA,V9G1H6
816391171RR0001,A Voice4paws Canine Rescue Society,Registered,Charity,2014-05-16,,1,Other purposes beneficial to the community,180,172 KINGS RD E,NORTH VANCOUVER,BC,CA,V7N1H5
892079443RR0001,A W A R E ASSOCIATION OF WHISTLER AREA RESIDENTS FOR THE ENVIRONMENT,Registered,Charity,1992-12-01,,1,Other purposes beneficial to the community,160,PO BOX 1370,WHISTLER,BC,CA,V0N1B0
754319689RR0001,A Way Home Kamloops Society,Registered,Charity,2019-04-01,,1,Relief of Poverty,1,622 TRANQUILLE RD,KAMLOOPS,BC,CA,V2B3H6
139321897RR0001,A.B.E.A.B.C. ADULT BASIC EDUCATION ASSOCIATION OF BRITISH COLUMBIA,Registered,Charity,1986-04-01,,1,Advancement of Education,11,9633 CORBOULD ST,CHILLIWACK,BC,CA,V2P4B4
887711018RR0001,A.E. (TED) AND DEANNA M. TURTON CHARITABLE FOUNDATION,Registered,Charity,2000-12-04,,3,Other purposes beneficial to the community,210,1662 LANGWORTHY ST,NORTH VANCOUVER,BC,CA,V7K1N5
853726487RR0001,A.J. McLellan Elementary School Parent Advisory Council,Registered,Charity,2003-01-27,,1,Advancement of Education,11,16545 61 AVENUE,SURREY,BC,CA,V3S5V4
805832318RR0001,A.L. Gray Foundation,Registered,Charity,2011-07-13,,3,Other purposes beneficial to the community,210,4888 SELKIRK ST,VANCOUVER,BC,CA,V6H3A3
863709978RR0001,A.P.E. DU BOIS-JOLI,Registered,Charity,2004-11-03,,1,Advancement of Education,11,785 - 49TH STREET,TSAWWASSEN,BC,CA,V4M2P3
106734809RR0001,A.S.T.C. SCIENCE WORLD SOCIETY,Registered,Charity,1980-04-01,,1,Other purposes beneficial to the community,190,1455 QUEBEC STREET,VANCOUVER,BC,CA,V6A3Z7
118797703RR0001,A.W.A.R.E.-ASSISTING WITH AWARENESS REGARDING EMPLOYMENT SOCIETY,Registered,Charity,1984-04-01,,1,Other purposes beneficial to the community,160,202 - 204 SIXTH ST,NEW WESTMINSTER,BC,CA,V3L3A1
760241133RR0001,Aaron's Society Focus On Trauma,Registered,Charity,2020-02-29,,1,Other purposes beneficial to the community,100,2135 LANNON WAY,SIDNEY,BC,CA,V8L3Z1
833492804RR0001,Abbey of the Long Cedar Canoe Society,Registered,Charity,2011-04-01,,2,Other purposes beneficial to the community,210,1406 SALTER ST,NEW WESTMINSTER,BC,CA,V3M6Z4
882746316RR0001,Abbeyfield British Columbia Trust Society,Registered,Charity,2001-11-20,,3,Other purposes beneficial to the community,210,2240 OKANAGAN STREET,ARMSTRONG,BC,CA,V0E1B1
888376597RR0001,Abbotsford Association for Healthy Aging,Registered,Charity,1996-03-23,,1,Relief of Poverty,1,108 - 32883 SOUTH FRASER WAY,ABBOTSFORD,BC,CA,V2S2A6
816693956RR0001,Abbotsford Celebration Christian Fellowship,Registered,Charity,2008-01-01,,1,Advancement of Religion,30,"PO BOX 2336, STATION A",ABBOTSFORD,BC,CA,V2T4H6
886635796RR0001,Abbotsford Community Music School (Society),Registered,Charity,1984-09-01,,1,Other purposes beneficial to the community,190,3471 CLEARBROOK RD,ABBOTSFORD,BC,CA,V2T5N1
849844493RR0001,Abbotsford Concert Band Society,Registered,Charity,2013-10-15,,1,Advancement of Education,12,P.O. BOX 143,ABBOTSFORD,BC,CA,V2T6Z5
846696227RR0001,Abbotsford Cultural Centre,Registered,Charity,2009-08-25,,1,Other purposes beneficial to the community,190,32388 VETERANS WAY,ABBOTSFORD,BC,CA,V2T0B3
798832697RR0001,Abbotsford Hospice Foundation,Registered,Charity,2015-12-01,,2,Other purposes beneficial to the community,210,32780 MARSHALL ROAD,ABBOTSFORD,BC,CA,V2S1K5
823648092RR0001,Abbotsford Vision Church,Registered,Charity,2009-02-24,,1,Advancement of Religion,30,33218 MARSHALL RD,ABBOTSFORD,BC,CA,V2S1K5
776882748RR0001,Abbott Foundation,Registered,Charity,2021-03-08,,3,Other purposes beneficial to the community,210,1237 BALFOUR AVE,VANCOUVER,BC,CA,V6H1X6
765929286RR0001,"Abbott Heights Congregation of Jehovah's Witnesses, Quesnel, British Columbia",Registered,Charity,1967-01-01,,1,Advancement of Religion,30,2295 MURRAY RD,QUESNEL,BC,CA,V2J0A2
765975487RR0001,"Aberdeen Congregation of Jehovah's Witnesses, Kamloops, British Columbia",Registered,Charity,1987-03-01,,1,Advancement of Religion,30,761 HEMLOCK ST,KAMLOOPS,BC,CA,V2C1C8
845514025RR0001,Abilitas Foundation,Registered,Charity,2008-08-26,,2,Other purposes beneficial to the community,210,PO BOX 4114 RPO SUMAS,ABBOTSFORD,BC,CA,V2S8R1
768771214RR0001,Able Sail Victoria Society,Registered,Charity,2024-03-10,,1,Other purposes beneficial to the community,140,2440 BEVAN AVE,SIDNEY,BC,CA,V8L5C5
787922723RR0001,Aboriginal Coalition to End Homelessness Society,Registered,Charity,2017-04-01,,1,Other purposes beneficial to the community,160,500 - 1312 BLANSHARD ST,VICTORIA,BC,CA,V8W2J1
855913869RR0001,Abounding Grace Baptist Church,Registered,Charity,2010-06-28,,1,Advancement of Religion,30,32-1145 INLET STREET,COQUITLAM,BC,CA,V3B6E8
741388284RR0001,About A Dog Rescue Society,Registered,Charity,2018-08-09,,1,Other purposes beneficial to the community,180,808-1166 MELVILLE ST,VANCOUVER,BC,CA,V6E4P5
782769863RR0001,About Christ Ministries,Registered,Charity,2021-06-22,,3,Advancement of Religion,30,301 - 1321 BLANSHARD ST,VICTORIA,BC,CA,V8W0B6
720380922RR0001,Abraar Foundation,Registered,Charity,2022-02-22,,1,Advancement of Religion,40,14777 71A AVE,SURREY,BC,CA,V3S4P7
833508237RR0001,Absolute Results Foundation,Registered,Charity,2013-11-04,,2,Other purposes beneficial to the community,210,104 - 19353 22 AVE,SURREY,BC,CA,V3Z3S6
869299206RR0001,Acacia Spring Charitable Foundation,Registered,Charity,2003-11-27,,2,Other purposes beneficial to the community,210,605 57TH AVE W,VANCOUVER,BC,CA,V6P1R8
846270841RR0001,Acacia Spring Society,Registered,Charity,2013-01-07,,1,Relief of Poverty,1,605 57TH AVE W,VANCOUVER,BC,CA,V6P1R8
855102588RR0001,Academics without Borders / Universitaires sans frontières,Registered,Charity,2008-02-20,,1,Advancement of Education,10,4326 WEST POINT PL,VANCOUVER,BC,CA,V6R4M9
821234259RR0001,Access Pro Bono Society of British Columbia,Registered,Charity,2010-04-01,,1,Other purposes beneficial to the community,160,300-845 CAMBIE ST,VANCOUVER,BC,CA,V6B4Z9
892923764RR0001,Access Youth Outreach Services Society,Registered,Charity,1993-01-05,,1,Other purposes beneficial to the community,160,8 -224 CAYER STREET,COQUITLAM,BC,CA,V3K5B1
819333626RR0001,Act with Africa Society of Canada,Registered,Charity,2010-08-26,,1,Relief of Poverty,1,1195 59TH AVE W,VANCOUVER,BC,CA,V6P1Y1
840679575RR0001,Act West Community Foundation,Registered,Charity,2014-01-01,,3,Advancement of Education,15,210 - 13900 MAYCREST WAY,RICHMOND,BC,CA,V6V3E2
872374897RR0001,Action at a Distance Dance Society,Registered,Charity,1998-03-10,,1,Advancement of Education,12,502 18TH AVE E,VANCOUVER,BC,CA,V5V1G3
837973338RR0001,Action for God's Love (Canada) Society,Registered,Charity,2016-03-04,,1,Advancement of Religion,70,225 ARMAND WAY,SALT SPRING ISLAND,BC,CA,V8K2B2
738568542RR0001,Active Cranbrook Physical Literacy Society,Registered,Charity,2024-04-30,,3,Other purposes beneficial to the community,140,120 17TH ST S,CRANBROOK,BC,CA,V1C0A1
733054670RR0001,Acts of Kindness for Mental Health Foundation,Registered,Charity,2021-01-11,,2,Other purposes beneficial to the community,210,131 KING EDWARD AVE W,VANCOUVER,BC,CA,V5Y2H8
833962426RR0001,Acts of Kindness for Seniors Society,Registered,Charity,2009-01-21,,1,Other purposes beneficial to the community,150,200-9102 196A STREET,LANGLEY,BC,CA,V1M3B4
820939395RR0001,Adam's Apples Foundation,Registered,Charity,2016-05-10,,1,Advancement of Education,11,3702 10TH W AVE,VANCOUVER,BC,CA,V6R2G4
847760881RR0001,Adaptive Sports at Sun Peaks Society,Registered,Charity,2013-01-28,,1,Other purposes beneficial to the community,140,106 - 3270 VILLAGE WAY,SUN PEAKS,BC,CA,V0E5N0
838353696RR0001,Adera Foundation Society,Registered,Charity,2008-10-14,,2,Other purposes beneficial to the community,210,"2200-1055 DUNSMUIR STREET PO BOX 49214, BENTALL CENTRE",VANCOUVER,BC,CA,V7X1K8
723147294RR0001,Adler University Vancouver Foundation,Registered,Charity,2017-05-27,,2,Advancement of Education,15,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
108167891RR0001,Adult & Teen Challenge Society of BC,Registered,Charity,1989-03-04,,1,Advancement of Religion,70,PO BOX 2095 STN A,ABBOTSFORD,BC,CA,V2T3X8
703592527RR0001,Adverse Drug Reaction Canada,Registered,Charity,2021-01-28,,1,Other purposes beneficial to the community,100,2195 HOLLY ST,ABBOTSFORD,BC,CA,V2T3Z8
133318832RR0001,Advokate Life & Education Services Society,Registered,Charity,1980-09-26,,1,Relief of Poverty,1,PO BOX 8000-518,ABBOTSFORD,BC,CA,V2S6H1
859156648RR0001,Aequitas Singers Society,Registered,Charity,2003-02-05,,1,Advancement of Education,12,14625 86B AVE,SURREY,BC,CA,V3S6N2
844151340RR0001,Aeriosa Dance Society,Registered,Charity,2009-02-09,,1,Advancement of Education,12,25-717 WEST 8TH AVE,VANCOUVER,BC,CA,V5Z1C9
769333907RR0001,Aeternum Foundation,Registered,Charity,2022-04-21,,3,Other purposes beneficial to the community,210,151 - 1290 HOWE ST,VANCOUVER,BC,CA,V6Z0C2
799711007RR0001,African Canadian Nursecare Foundation of BC,Registered,Charity,2022-08-22,,1,Relief of Poverty,1,342 14TH ST W,NORTH VANCOUVER,BC,CA,V7M1P6
818119208RR0001,African Leaders of Tomorrow Society,Registered,Charity,2011-03-17,,3,Advancement of Education,11,5 - 1309 CRAIGFLOWER RD,VICTORIA,BC,CA,V9A2X9
726643927RR0001,African Methodist Episcopal Church Fountain Chapel,Registered,Charity,2019-01-01,,3,Advancement of Religion,30,487 ALEXANDER ST,VANCOUVER,BC,CA,V6A1C6
834419897RR0001,African People's Foundation,Registered,Charity,2010-01-01,,2,Other purposes beneficial to the community,210,610-825 GRANVILLE STREET,VANCOUVER,BC,CA,V6Z1K9
801011719RR0001,Afro-Canadian Positive Network of BC Society,Registered,Charity,2012-08-20,,1,Other purposes beneficial to the community,100,35 - 13947 68 AVE,SURREY,BC,CA,V3W2G9
836931717RR0001,Agape Church Burnaby,Registered,Charity,2010-12-09,,1,Advancement of Religion,30,230 - 6688 SOUTHOAKS CRES,BURNABY,BC,CA,V5E4M7
752562470RR0001,Agape Empty Now Mission Society,Registered,Charity,2021-01-01,,2,Advancement of Education,15,16 - 20559 86 AVE,LANGLEY,BC,CA,V2Y3V1
717096671RR0001,Agape Global Ministries Society,Registered,Charity,2022-03-24,,1,Advancement of Religion,30,14425 102B AVE,SURREY,BC,CA,V3R6M6
702624313RR0001,Agape Love Christian Church,Registered,Charity,2020-01-01,,1,Advancement of Religion,30,202-8291 PARK ROAD,RICHMOND,BC,CA,V6Y1T3
765839311RR0001,"Agassiz Congregation of Jehovah's Witnesses, Agassiz, British Columbia",Registered,Charity,1990-01-01,,1,Advancement of Religion,30,32919 HIGHLAND AVE,ABBOTSFORD,BC,CA,V2S7A8
132643883RR0001,Agassiz United Church,Registered,Charity,1981-01-01,,1,Advancement of Religion,30,6860 LOUGHEED HWY,AGASSIZ,BC,CA,V0M1A0
818595639RR0001,Agrarians Foundation,Registered,Charity,2014-02-18,,1,Advancement of Education,13,2214 SUN VALLEY DR,NANAIMO,BC,CA,V9T6E8
796210474RR0001,Agricultural Resilience Incentives,Registered,Charity,2021-05-20,,3,Relief of Poverty,2,1310 MAY ST,VICTORIA,BC,CA,V8S1B7
708348545RR0001,AgSafe Cares Charitable Foundation,Registered,Charity,2024-01-01,,3,Other purposes beneficial to the community,110,311 - 9440 202 ST,LANGLEY,BC,CA,V1M4A6
718796931RR0001,Ahamed Foundation,Registered,Charity,2021-01-01,,3,Other purposes beneficial to the community,210,2800 - 666 BURRARD ST,VANCOUVER,BC,CA,V6C2Z7
841128168RR0001,Air Cadet Foundation of British Columbia,Registered,Charity,2008-09-01,,2,Other purposes beneficial to the community,210,#2-7630 MONTREAL STREET,DELTA,BC,CA,V4K0A7
893438408RR0001,"Air Cadet League of Canada, 279 Elk Valley Squadron Sponsoring Committee",Registered,Charity,2013-09-01,,1,Advancement of Education,13,PO BOX 821,SPARWOOD,BC,CA,V0B2G0
832195622RR0001,"Air Cadet League of Canada, 609 Steveston Sponsoring Committee",Registered,Charity,2010-03-08,,1,Advancement of Education,13,359-185-9040 BLUNDELL ROAD,RICHMOND,BC,CA,V6Y1K3
725684328RR0001,Air Rescue One Heli Winch Society,Registered,Charity,2019-11-22,,1,Other purposes beneficial to the community,120,600 UPLAND DR,COLDSTREAM,BC,CA,V1B2X8
792525610RR0001,Ajyal Islamic Society,Registered,Charity,2023-01-01,,1,Advancement of Religion,40,202 - 181 KEEFER PL,VANCOUVER,BC,CA,V6B6C1
845636950RR0001,Akal Academy Society,Registered,Charity,2009-03-24,,1,Advancement of Religion,60,204-12639 80 AVE,SURREY,BC,CA,V3W3A6
889304846RR0001,Akhand Kirtani Jatha Society of B.C.,Registered,Charity,1994-07-01,,1,Advancement of Religion,60,#205-8501 162 ST.,SURREY,BC,CA,V4N1B2
801073768RR0001,Al Ihsan Educational Foundation,Registered,Charity,2019-01-01,,1,Advancement of Religion,40,11 - 8285 132 ST,SURREY,BC,CA,V3W4N6
750543696RR0001,Al-Ihsan Social Development Society,Registered,Charity,2021-10-18,,1,Advancement of Education,11,22 - 12689 72 AVE,SURREY,BC,CA,V3W2M7
823555677RR0001,Al-Mustafa Academy Society,Registered,Charity,2008-07-01,,1,Advancement of Religion,40,235 - 11590 CAMBIE ROAD,RICHMOND,BC,CA,V6X3Z5
801809377RR0001,Alacanastu Family Foundation,Registered,Charity,2016-02-29,,3,Relief of Poverty,1,700-355 BURRARD STREET,VANCOUVER,BC,CA,V6C2G8
829768431RR0001,Alan and Doreen Thompson Charitable Foundation Inc.,Registered,Charity,2013-12-20,,3,Other purposes beneficial to the community,210,650 WEST GEORGIA ST SUITE 510,VANCOUVER,BC,CA,V6B4N7
834230161RR0001,Alan and Gwendoline Pyatt Foundation,Registered,Charity,2007-07-18,,2,Other purposes beneficial to the community,210,2101 - 1515 HOMER MEWS,VANCOUVER,BC,CA,V6Z3E8
887008704RR0001,Alberni Athletic Association,Registered,Charity,2003-12-01,,1,Other purposes beneficial to the community,200,BOX 1041,PORT ALBERNI,BC,CA,V9Y7L9
829112341RR0001,Alberni Valley Assisted Living Society,Registered,Charity,2007-09-05,,1,Relief of Poverty,1,436 HERITAGE LANE,PORT ALBERNI,BC,CA,V9Y4X3
835717497RR0002,Alberni Valley Hospice Society,Registered,Charity,2009-07-27,,1,Other purposes beneficial to the community,100,2579 10TH AVE,PORT ALBERNI,BC,CA,V9Y2P5
808903280RR0001,Aldea Maya Assistance for Mayan Families Society,Registered,Charity,2013-06-01,,1,Advancement of Education,11,850 FLAMINGO DR,QUALICUM BEACH,BC,CA,V9K2B5
765273115RR0001,"Aldergrove Congregation of Jehovah's Witnesses, Aldergrove, British Columbia",Registered,Charity,1983-01-01,,1,Advancement of Religion,30,28280 MYRTLE AVE,ABBOTSFORD,BC,CA,V4X2P4
768362063RR0001,Alif Community Centre Society,Registered,Charity,2022-09-07,,1,Advancement of Education,10,210 - 12960 84 AVE,SURREY,BC,CA,V3W1K7
106702608RR0001,All Christian Fellowship,Registered,Charity,1987-05-11,,1,Advancement of Religion,30,5819 189A ST,SURREY,BC,CA,V3S7R7
118860634RR0001,All Nations Church of God in Christ of Canada,Registered,Charity,1975-01-01,,1,Advancement of Religion,30,220 ALLARD ST,COQUITLAM,BC,CA,V3K4K8
140602848RR0001,All Nations Pentecostal Church of Prince George,Registered,Charity,1990-01-01,,1,Advancement of Religion,30,PO BOX 21 STN A,PRINCE GEORGE,BC,CA,V2L4R9
763171006RR0001,All-Stages Education Foundation,Registered,Charity,2023-01-03,,1,Advancement of Education,10,118 COLLEGE PARK WAY,PORT MOODY,BC,CA,V3H1S4
817874050RR0001,Allan & Alice Shen Charity Foundation,Registered,Charity,2010-10-01,,3,Advancement of Education,11,260 8291 ALEXANDRA ROAD,RICHMOND,BC,CA,V6X1C3
779552892RR0001,Allan Kardec Vancouver Society,Registered,Charity,2017-01-01,,1,Advancement of Religion,30,804 - 3033 E KENT AVE NORTH,VANCOUVER,BC,CA,V5S4P7
892420548RR0001,Allan Skidmore Family Foundation,Registered,Charity,1996-02-19,,3,Other purposes beneficial to the community,210,PO BOX 330 STN MILNER,LANGLEY,BC,CA,V2Y0W9
801502501RR0001,Alleycats Alliance Society,Registered,Charity,2012-10-09,,1,Other purposes beneficial to the community,180,332 113 - 437 MARTIN STREET,PENTICTON,BC,CA,V2A5L1
799556519RR0001,Alliance of Canadian Land Trusts/Alliance canadienne des organismes de conservation,Registered,Charity,2023-08-29,,1,Other purposes beneficial to the community,160,201 - 569 JOHNSON ST,VICTORIA,BC,CA,V8W1M2
859411027RR0001,Ally Global Foundation,Registered,Charity,2009-06-08,,1,Other purposes beneficial to the community,210,PO BOX 46817 STN D,VANCOUVER,BC,CA,V6J5M4
783309677RR0001,Alongside Families in Haiti Society,Registered,Charity,2020-01-01,,1,Relief of Poverty,1,100 - 32160 SOUTH FRASER WAY,ABBOTSFORD,BC,CA,V2T1W5
842236630RR0001,Alongsiders International Foundation,Registered,Charity,2013-12-16,,1,Relief of Poverty,1,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
771767209RR0002,Alqi Legacy Foundation,Registered,Charity,2024-03-14,,2,Other purposes beneficial to the community,210,1604 - 1055 HOMER ST,VANCOUVER,BC,CA,V6B1G3
700635493RR0001,Altitude Project Community Support Foundation,Registered,Charity,2017-08-11,,1,Advancement of Education,11,4228 CRESCENT BAY RD,NELSON,BC,CA,V1L6N1
826404691RR0001,Altius Canada Association,Registered,CAAA,2009-12-01,,,Other purposes beneficial to the community,214,3713 KENSINGTON AVE,BURNABY,BC,CA,V5B0A7
740206131RR0001,Altruition Scholarship Foundation,Registered,Charity,2020-06-03,,1,Advancement of Education,11,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
845130897RR0001,Amabilis Singers Community Choir Society,Registered,Charity,2008-09-19,,1,Advancement of Education,12,14316 68A AVE,SURREY,BC,CA,V3W8W4
760947101RR0001,Amaranthine Foundation,Registered,Charity,2021-12-29,,3,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
824420400RR0001,Amazing Agape Christian Church,Registered,Charity,2011-02-11,,1,Advancement of Religion,30,35-10080 KILBY DR,RICHMOND,BC,CA,V6X3W2
753226315RR0001,Amazing Blessings Church,Registered,Charity,2018-06-07,,1,Advancement of Religion,30,3612 WILLIAM ST,VANCOUVER,BC,CA,V5K5E6
870400017RR0001,Amazing Discoveries Ministries International,Registered,Charity,2001-06-11,,1,Advancement of Religion,70,3222 HORSEFLY ROAD,150 MILE HOUSE,BC,CA,V0K2G0
810722207RR0001,Amazing Facts Ministries Inc.,Registered,Charity,2011-05-30,,1,Advancement of Religion,70,PO BOX 449,CRESTON,BC,CA,V0B1G0
770428886RR0001,Amazing New Life Christian Church,Registered,Charity,2018-05-16,,1,Advancement of Religion,30,202-8291 PARK RD,RICHMOND,BC,CA,V6Y1T3
895792729RR0001,Amberheart Cancer Foundation,Registered,Charity,1999-04-30,,1,Other purposes beneficial to the community,110,17-21707 DEWDNEY TRUNK RD,MAPLE RIDGE,BC,CA,V2X3G8
716873104RR0001,Amelia Douglas Metis Institute Society,Registered,Charity,2023-06-16,,1,Advancement of Education,11,380 - 13401 108 AVE,SURREY,BC,CA,V3T5T3
705758670RR0001,Amenida Community Church,Registered,Charity,2021-03-24,,1,Advancement of Religion,30,414-10186 155 ST,SURREY,BC,CA,V3R0R6
823641295RR0001,Ames Family Foundation,Registered,Charity,2009-01-27,,3,Other purposes beneficial to the community,210,301 - 415 BOYNE ST,NEW WESTMINSTER,BC,CA,V3M5K2
706835725RR0001,Amici Curiae Friendship Society,Registered,Charity,2019-11-21,,1,Other purposes beneficial to the community,160,1123 KEITH RD,WEST VANCOUVER,BC,CA,V7T1M7
779789510RR0001,Amigos de Animales Society,Registered,Charity,2018-07-23,,1,Other purposes beneficial to the community,180,PO BOX 408,HERIOT BAY,BC,CA,V0P1H0
789054418RR0001,Amp It Up Foundation,Registered,Charity,2024-01-01,,1,Other purposes beneficial to the community,180,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
838376614RR0001,Amparo International Foundation,Registered,Charity,2009-03-11,,1,Advancement of Education,11,203 - 20201 LOUGHEED HWY,MAPLE RIDGE,BC,CA,V2X2P6
796217016RR0001,Amy's Bunny Barn Society,Registered,Charity,2024-07-26,,1,Other purposes beneficial to the community,180,105 - 1090 JOHNSON ST,VICTORIA,BC,CA,V8V0B3
773052402RR0001,Anarchist Mountain Fire Rescue Society,Registered,Charity,2022-08-30,,1,Other purposes beneficial to the community,120,135 MULE DEER PT,OSOYOOS,BC,CA,V0H1V6
821233657RR0001,Ancient Forest Alliance Society,Registered,Charity,2023-07-12,,1,Advancement of Education,13,205 - 620 VIEW ST,VICTORIA,BC,CA,V8W1J6
714416112RR0001,Ancient Wells Living Waters Church,Registered,Charity,2019-08-01,,1,Advancement of Religion,30,5310 SIMINOFF RD,GRAND FORKS,BC,CA,V0H1H4
878665017RR0001,Angel Flight of British Columbia Society,Registered,Charity,2001-03-22,,1,Other purposes beneficial to the community,110,P.O. BOX 2623,SIDNEY,BC,CA,V8L4C1
799803671RR0001,Angel Flight East Kootenay Association,Registered,Charity,2019-06-01,,1,Other purposes beneficial to the community,110,4360 COKATO RD,FERNIE,BC,CA,V0B1M4
838593358RR0001,Angel Philanthropy Foundation,Registered,Charity,2007-10-19,,2,Other purposes beneficial to the community,210,300 - 1208 PENDER ST W,VANCOUVER,BC,CA,V6E2S8
847488269RR0001,Angel's Animal Rescue Society,Registered,Charity,2012-05-28,,1,Other purposes beneficial to the community,180,2460 TORGERSON RD,MERRITT,BC,CA,V1K1R5
