,id,name,website,phone,email,description
15,106700370RR0001,ALLAN BAPTIST CHURCH INC.,WWW.ALLANBAPTISTCHURCH.CA,phone number,email,WEEKLY WORSHIP SERVICES AND BIBLE STUDIES AREHELD IN THE CHURCH AS WELL AS A YOUTH GROUP MEETS ON A REGULAR BASIS. IN THE SUMMER EVENTS SUCH AS VBS AND PRINCESS TEA ARE HELD. THE CHURCH IS OPEN TO ALL PEOPLE AND WE HAVE SOME INTERDENOMINATIONAL EVENTS SUCH AS WORLD DAY OF PRAYER. THE CHURCH IS AVAILABLE AND OPEN TO THE COMMUNITY OF ALLAN AND SURROUNDING AREA TO ATTEND IF THEY WISH TO.
16,106701493RR0001,ALLENFORD-PARKHEAD PASTORAL CHARGE,,phone number,email,WORSHIP SERVICES WEEKLY (INPERSON/ONLINE) ACCORDING TO COVID RESTRICTIONS. GIVE PASTORAL CARE. MINISTER TO SICK & ELDERLY. DONATE FUNDS TO MISSION & SERVICE
17,106701931RR0001,ALLIANCE CHURCH OF LA RONGE,WWW.LARONGEALLIANCE.CA,phone number,email,"WE HOLD WEEKLY WORSHIP SERVICES, SMALL GROUP BIBLE STUDIES AND PRAYER MEETINGS. WE HAVE A YOUTH MINISTRY AND WE OFFER PASTORAL CARE. WE DONATE FUNDS TO DENOMINATION HEADQUARTERS FOR MISSIONARY ACTIVITIES. WE GIVE SUPPORT TO A PROGRAM WORKING WITH THE HOMELESS OF OUR COMMUNITY. WE SPONSOR MEMBER PARTICIPATION IN SHORT TERM MISSIONS THAT FURTHER OUR CHARITABLE PURPOSE. WE SUPPORT JUSTICE PROGRAMS WITHIN OUR ORGANIZATION THAT FURTHER OUR CHARITABLE PURPOSE."
18,106702475RR0001,ALLISTON ALLIANCE CHURCH,WWW.ALLISTONALLIANCE.ORG,phone number,email,"PLACE OF WEEKLY WORSHIP, PRAYER, SUNDAY SCHOOL, COMMUNITY BENEVOLENCE, PASTORAL CARE, COUNSELLING AND EMERGENCY ASSISTANCE."
19,106702590RR0001,ALL NATION CHRISTIAN REFORM CHURCH,WWW.ALLNATIONSCRC.ORG,phone number,email,"We are continuing to do our best to assist under privledged members for our society, we continue to care for the spiritual well-being of our children and adults, and we gather weekly for worship"
20,106702608RR0001,All Christian Fellowship,,phone number,email,"We are a Christian Church with Sunday School, Adult Bible Classes and Sunday Services We provide Online Sunday services and outreach We conduct mission services and food services for the poor in Metro Vancouver area. We conduct marriages and funerals."
21,106702699RR0001,ALL PEOPLES UNITED CHURCH,,phone number,email,
22,106702756RR0001,ALL SAINTS ANGLICAN CHURCH,WWW.ALLSAINTSKINGCITY.COM,phone number,email,"Weekly worship services, youth Sunday School, weekly bible study, Crosslinks dinner program, community food bank collection."
23,106702764RR0001,ALL SAINTS CHURCH,WWW.ALLSAINTSWHITBY.ORG,phone number,email,THE CHURCH CONDUCTS RELIGIOUS SERVICES AND OPERATES A FOOD BANK. IT ALSO ORGANIZES A CHRITMAS HAMPER P[ROGRAM IN CONJUNCTION WITH OTHER LOCAL CHURCHES.
24,106702780RR0001,ALL SAINTS CHURCH,WWW.ALLSAINTSCOLLINGWOOD.COM,phone number,email,"HOLD RELIGIOUS SERVICES, PROVIDE PASTORAL CARE TO APPROXIMATLY 300 FAMILIES, HOLD AND SUPPORT YOUTH PROGEAM, PROVIDE FREE MONTHLY DINNERS, PROVIDE SUPPORT TO OTHER LOCAL CHARITIES, PROVIDE SPACE FOR OTHER NOT FOR PROFIT GROUPS TO MEET."
25,106702806RR0002,ALL SAINTS ANGLICAN CHURCH,ALLSAINTSWINDSOR.CA,phone number,email,"PROVIDED ON LINE SERVICES AND DISCUSSION GROUPS, MAINTAINED REGULAR PHONE CONTACT WITH MEMBERS CONFINED TO HOME AND DID REGULAR MONTHLY COLLECTIONS OF FOOD AND MONEY FOR NEEDY FAMILIES AFFECTED BY COVIID-19 RESTRICTIONS"
26,106702970RR0002,ALL SAINTS CHURCH,WWW.ALLSAINTSHUNTSVILLE.CA,phone number,email,"USING ANGLICAN LITURGY IN WEEKLY WORSHIP AND BIBLE STUDY, MINISTRY TO THE COMMUNITY THROUGH OUTREACH, YOUTH PROGRAMS + SENIORS"
27,106703036RR0001,ALL SAINTS CHURCH KINGSWAY,WWW.ALLSAINTSKINGSWAY.CA,phone number,email,"1. - OPPORTUNITIES FOR WORSHIP THROUGHOUT THE WEEK. 2. - PROVISION FOR WEDDING AND FUNERAL RITES. 3. - FAITH FORMATION FOR ALL AGES; STUDY GROUPS, PRAYER GROUPS, PREPARATION FOR BAPTISM, ETC. 4. - PASTORAL CARE; VISITS TO THE SICK AND SHUT-IN, WORSHIP SERVICES FOR SENIORS' RESIDENCES, MARRIAGE PREPARATION, CARING IN CRISIS, GRIEF COUNSELING. 5. - COMMUNITY BUILDING AND MANAGING TRANSITIONS. 6. - OUTREACH: OUT OF THE COLD DINNER / LUNCH PROGRAM, FOOD BANK AGENCY SUPPORT AND SPONSORSHIP AND SUPPORT OF REFUGEES AS PART OF THE IMMIGRATION, REFUGEES AND CITIZENSHIP CANADA PROGRAM."
28,106703051RR0001,ALL SAINTS GREEK ORTHODOX CHURCH,,phone number,email,GREEK CHURCH WHICH PROVIDES SERVICES IN BOTH GREEK AND ENGLISH. GREEK CULTURAL AND EDUCATION PROGRAMS INCLUDING DAYCARE AND SUNDAY SCHOOL
29,106703101RR0001,ALL SAINTS LUTHERAN CHURCH,NONE,phone number,email,"CONDUCT WORSHIP SERVICES, DISTRIBUTE SACRAMENTS OF BAPTISM AND HOLY COMMUNION, PROVIDE MARRIAGE AND FUNERAL SERVICES, SUNDAY SCHOOL, ADULT BIBLE STUDY, FELLOWSHIP, VISITATION AND MINISTRY TO THE IMMOBILE 9 HOSPITALIZED, ELDERLY, DISABLED), YOUTH ACTIVITIES (KOINONIA), VACATION BIBLE SCHOOL"
30,106703382RR0001,ALBERTON BAPTIST CHURCH,,phone number,email,"THE PURPOSE OF ALBERTON BAPTIST CHURCH IS TO PREACH AND TEACH THE GOSPEL OF JESUS CHRIST. THIS IS CARRIED OUT BY THE FOLLOWING METHODS: WEEKLY CHURCH SERVICES (AM & PM) WEEKLY BIBLE STUDIES, KIDS AND TEEN PROGRAMS AND DAILY VACATION BIBLE SCHOOLS."
31,106704174RR0001,ALPINE CHURCH OF GOD,WWW.ALPINECHURCHOFGOD.COM,phone number,email,WE HOLD SUNDAY WORSHIP SERVICES
32,106704752RR0001,ALTONA MENNONITE CHURCH,WWW.ALTONAMENNONITECHURCH.CA,phone number,email,NONE
33,106708159RR0001,AMHERST OPEN BIBLE CHURCH,,phone number,email,"THE PURPOSE OF OUR CHARITY IS TO TEACH & PREACH THE GOSPEL OF THE LORD JESUS CHRIST, TO THE SAVING OF SOULS & A HOME IN HEAVEN, TO THE PEOPLE OF AMHERST AND SURROUNDING AREA. HAVING WEEKLY SERVICES 3 SERVICES ON SUNDAY. PRAY ON SATURDAYS & MIDWEEK PRAYER MEETING. WE DONATE FUNDS FOR MISSIONS. DANNY JACK MINISTRIES -- To strengthen churches by Encouraging & helping pastors, Revival meetings, Missions conferences, Camp meetings, Evangelistic meetings, Bible conferences, Assisting in church planting."
34,106710932RR0001,ANDREW DONALD PASTORAL CHARGE,,phone number,email,"1) WE PROVIDE PASTORAL CARE (MINISTRY SERVICES) TO THE TWO CONGREGATIONS IN THE PASTORAL CHARGE (75%) 2) WE FINANCIALLY SUPPORT SOCIAL OUTREACH ACTIVITIES BY GIFTING FUNDS TO OUR DENOMINATION HEADQUARTERS, THE UNITED CHURCH OF CANADA, WHICH IS A REGISTERED CHARITY. IN ADDITION, WE PROVIDE VOLUNTEER SUPPORT TO THE UNITED CHURCH OF CANADA MARITIME REGION 14 WHICH IN TURN PROVIDES REGIONAL OUTREACH AND MINSTRY SUPPORT (20%) 3) WE FINANCIALLY SUPPORT OVERSEAS MISSIONARY ACTIVITIES BY GIFTING FUNDS TO OUR DENOMINATION HEADQUARTERS, THE UNITED CHURCH OF CANADA, WHICH IS A REGISTERED CHARITY."
35,106712821RR0001,ANGLICAN CHURCH OF CANADA THE CHURCH OF ST JUDE,STJUDESBRAMPTON.WIXSITE.COM/STJUDESANGLICAN,phone number,email,"CHRISTIAN WORSHIP, EDUCATION, MINISTRY AND OUTREACH"
36,106713282RR0001,ANGLICAN PARISH OF EDWARDSBURGH,,phone number,email,"SUPPORT OF MEMBERS - SOUP & SANDWICH MONTHLY, CHRISTMAS ANGEL TREE, 2ND HAND SHOP OPENED SAT AM BY VOLUNTEER, CRAFT GROUP, WEEKLY. BIBLE STUDY WEEKLY."
37,106713290RR0001,ANGLICAN PARISH OF ESTEVAN,WWW.ESTEVANANGLICAN.COM,phone number,email,"- MESSY CHURCH-WE COLLABORATE ON A MONTHL;Y ROTATING BASIS WITH TRINITY LUTHERAN AND ST. PAUL'S UNITED CHURCH PROVIDING A BIBLE STORY, MUSIC, CRAFT, AND A MEAL. CHILDREN MUST BE ACCOMPANIED BY AN ADULT."
38,106713365RR0001,ANGLICAN PARISH OF GRAND MANAN,,phone number,email,"Operation of two Anglican churches and provision of church services and other religious activities to the residents of Grand Manan, NB."
39,106713423RR0001,ANGLICAN PARISH OF LEEDS REAR,,phone number,email,"The parish engages in regular Worship, Discipleship and Stewardship as a Congregation which is part of the Diocese of Ontario in the Anglican Church of Canada. Social, Pastoral, Outreach and Fellowship groups and activities operate to serve the congregation, the local community and global needs. We partner with the wider community in recycling, reusing and providing low cost resources to the community through a Thrift Shop. We also provide access to assistive devices and assistance to those in need through our Helping Hands volunteers. The Thrift Shop is a distribution location for meals-to-go program offered to the local community at no cost at least four days a week. The Leeds Anglican Ministry regional group, of which the parish is a partner, offers worship services, a Bible study and fellowship group weekly online via Facebook and You Tube. From time to time there are special occasion services and study groups are also offered."
40,106713456RR0001,Anglican Parish of Heart of Hastings,,phone number,email,"OPERATION OF A WIDE RANGE OF CHARITABLE AND PASTORAL ACTIVITIES, INCLUDING FINANCIAL SUPPORT OF THE ANGLICAN CHURCH IN CANADA AND AROUND THE WORLD INCLUDING: PASTORAL SUPPORT, ADULT CHRISTIAN EDUCATION, CHILDREN AND YOUTH MINISTRIES, SOCIAL JUSTICE ADVOCACY, HOSPITAL AND UNIVERSITY AND CORRECTIONAL SERVICES CHAPLAINCY PROGRAMS, PROVIDING A PLACE OF FELLOWSHIP AND WORSHIP."
41,106713522RR0001,ANGLICAN PARISH OF OXFORD,,phone number,email,RELIGIOUS PROGRAMS FOR PARISH OF OXFORD
42,106714264RR0001,Anjou united church,,phone number,email,"WE HOLD WEEKLY WORSHIP SERVICES PROVIDING MINISTRY FOR MEN, WOMEN AND CHILDREN. WE PARTICIPATE IN ACTIVITIES TO RAISE FUNDS FOR THE MAINTENANCE OF THE CHURCH, AND ASSIST OTHER CHARITIES AND THE NEEDY."
43,106714637RR0001,ANNAN WOODFORD PASTORAL CHARGE,SITES.GOOGLE.COM/SITE/TRINITYANNANUNITEDCHURCH/,phone number,email,"The church offered weekly religious service, both online and in person due to Covid 19 and the new advantages of offering both service formats to the congregation. The church also had in person and on-line bible studies to members who wished to participate. The church held of few fundraisers this year including the Elvis concert and some food fundraisers. The church reached out to shut-in congregants with phone calls and zoom calls as well. Pastoral Care was available through minister Bill Bruce throughout the year. Funerals and weddings were also offered throughout the year at Annan-Trinity PC."
44,106714710RR0001,ANNAPOLIS-GRANVILLE PASTORAL CHARGE UNITED CHURCH OF CANADA,,phone number,email,"Weekly church services, home visitations, visits to nursing homes, weekly Bible study group, choir practices, the Paperwork Project which assists with the completion of government forms, etc. United Church Women's group, Men's club group and Care Giver support group"
45,106716459RR0001,ANOLA FELLOWSHIP CHAPEL,,phone number,email,"SUNDAY MORNING WORSHIP SERVICE AND SUNDAY SCHOOL, WEEKLY MINISTRY FOR TEENAGERS, PASTORAL CARE, VACATION BIBLE SCHOOL IN SUMMER, DONATE FUNDS TO CHURCH CONFERENCE FOR LOCAL & OVERSEAS MISSION ACTIVITIES, WEEKLY PIONEER CLUB FOR CHILDREN"
46,106718521RR0001,APOHAQUI NORTON KINGS KIRK PASTORAL CHARGE,,phone number,email,"One church operated under this charity as part of The United Church of Canada with one church service held each Sunday. Various outreach projects are supported including support for the sick & shut-in at home with Christmas care packages, support of Sussex Sharing Club, local schools, Canadian Food Grains Bank and Ukraine Response Fund."
47,106718554RR0001,APOSTOLIC CATHOLIC ASSYRIAN CHURCH OF THE EAST,,phone number,email,"THE CHARITY CONTINUED ITS EMPHASIS ON THE EDUCATION AND GENERAL PUBLIC AWARENESS OF THE ANCIENT ASSYRIAN LANGUAGE, CULTURE AND RELIGIOUS FAITH. THIS WAS ACHIEVED THROUGH THE RELIGIOUS SERVICES HELD WEEKLY, LANGUAGE INSTRUCTION, WEEKLY BIBLE STUDY, AND VOLUNTEER DEVELOPMENT."
48,106718562RR0001,APOSTOLIC CHRISTIAN CHURCH,,phone number,email,"WE HOLD REGULAR WORSHIP SERVICES, SUNDAY SCHOOL CLASSES, BIBLE STUDIES, MUSIC AND CHOIR PROGRAMS. WE ARE INVOLVED IN MISSIONARY ACTIVITIES, YOUTH PROGRAMS, AND WE DISTRIBUTED FUNDS FOR THE PURPOSES OF AIDING THE NEEDY AND DISTRESSED."
49,106718661RR0001,"APOSTOLIC CHURCH OF PENTECOST OF CANADA, INCORPORATED",WWW.ACOP.CA,phone number,email,"THE PURPOSE FOR ACOP IS TO PROCLAIM THE GOSPEL IN EVERY AREA OF THE WORLD, LIMITED ONLY BY PERSONNEL AND RESOURCES CONSTRAINS. ACOP PROVIDES LEADERSHIP FOR CHURCHES, IN CANADA, WHICH AREA AFFILIATED WITH THE PARENT BODY. OUTSIDE IN CANADA, ACOP PROVIDES SUPPORT AND DIRECTION TO MISSIONARIES SERVING IN VARIOUS THROUGHOUT THE WORLD."
50,106718687RR0001,APOSTOLIC CHURCH OF PENTECOST OF HIGH RIVER,,phone number,email,"CONDUCTS REGULAR CHURCH SERVICES, SPONSORS GROUP ACTIVITIES FOR MEMBERS, ADHERENTS AND THE COMMUNITY AND PARTICIPATES IN WORLDWIDE EVANGELISM THROUGH THE SUPPORT OF MISSIONARIES.."
51,106718711RR0001,APOSTOLIC LIGHTHOUSE TABERNACLE,,phone number,email,"WORSHIP SERVICE, SUNDAY SCHOOL, YOUTH ACTIVITIES, OUTREACH, BIBLE STUDY"
52,106718919RR0001,APPLEBY UNITED CHURCH,WWW.APPLEBYCHURCH.CA,phone number,email,"We are a congregation of the United Church of Canada. We hold weekly services of worship each Sunday. Several study groups meet during the week for Bible study and fellowship. The church is sponsor to several scouting groups that meet weekly in the church. We conduct outreach project in support of local, national and global humanitarian missions."
53,106720253RR0001,ARCHIEPISCOPAL CORPORATION OF REGINA,WWW.ARCHREGINA.SK.CA,phone number,email,"We provide religious and spiritual; care, education, training in the Roman Catholic faith tradition including religious services to members of the Roman Catholic faith tradition in Southern Saskatchewan. Missionary and evangelization activities are provided to show the love of Jesus Christ and the Holy Trinity for all people."
54,106720717RR0001,Arden and Community Wesleyan Church,,phone number,email,TO EDUCATE AND LEAD PEOPLE TO SALVATION BY PREACHING THE GOSPEL OF JESUS CHRIST ACCORDING TO HOLY SCRIPUTURES.
55,106721434RR0001,ARMADALE FREE METHODIST CHURCH,,phone number,email,"CARRIES ON WORSHIP, RELIGIOUS INSTRUCTIONS AND YOUTH PROGRAMS IN COMMUNITY ACTIVITIES CARRIED OUT IN THE GREATER TORONTO AREA."
56,106721673RR0001,ARMENIAN EVANGELICAL CHURCH OFCAMBRIDGE,,phone number,email,EVANGELICAL CHURCH AND ALL SERVICES RELATED TO PROMOTING THE WORD OF THE LORD
57,106721681RR0001,Armenian Evangelical Church Of Montréal (The United Church Of Canada) / L'Église Arménienne Évangeline de montréal,,phone number,email,"MISSIONARY, RELIGIOUS, EVANGELISM"
58,106721806RR0001,ARMOUR HEIGHTS PRESBYTERIAN CHURCH,WWW.ARMOURHEIGHTS.ORG,phone number,email,"(1) Weekly and special worship services, including periodic inter-generational services, both live and live-streamed. (2) Weekly Christian education programs. (3) Pastoral care. (4) Music program, and special music events. (5) Bible study and adult education. (6) Fellowship events. (7) Social outreach programs. (8) Support for international ministry of the Presbyterian Church in Canada. (9) Community programs. (10) Outreach activities."
59,106722630RR0001,ARNAUD MENNONITE CHURCH,WWW.ARNAUDCHURCH.CA,phone number,email,"ARNAUD MENNONITE CHURCH HOLDS REGULAR SUNDAY MORNING WORSHIP SERVICES AND SUNDAY SCHOOL CLASSES FOR ALL AGES. AMC PROVIDES PASTORAL AND DEACON CARE TO AMC ATTENDEES AND TO THE SURROUNDING COMMUNITY MENBER AS NEEDED. AMC PROVIDES PERIODIC MIDWEEK SESSIONS, PRAYER MEETINGS, FELLOWSHIP MEALS, AND SPECIAL SERVICES THROUGHOUT THE YEAR. AMC MEMBERS ARE INVOLVED IN VARIOUS OUTREACH, MISSION PROJECTS, AND EXTENDED COMMUNITY WORSHIP SERVICES. THE SUNDAY SCHOOL & YOUTH GROUP PARTICPATE IN PROJECTS TO PROVIDE HELP TO OTHERS, SUCH AS HAVING SPECIAL DONATIONS GO TOWARDS PROVIDING SCHOOL KITS TO THOSE IN NEED, COLLECTING FOOD FOR A LOCAL FOOD HAMPER AT CHRISTMAS, AND BAKING FOR THE LOCAL RELIGIOUS AND COMMUNITY EVENTS."
60,106725237RR0001,Ascension Lutheran Church,,phone number,email,
61,106725260RR0001,ASCENSION LUTHERAN CHURCH,WWW.ALCHURCH.CA,phone number,email,"ACTIVITIES ASSOCIATED WITH A LUTHERAN PARISH - WEEKLY WORSHIP SERVICES, PASTORAL CARE, EDUCATION, COMMUNITY SERVICE"
62,106726326RR0001,ASHERN GOSPEL CHAPEL INC,,phone number,email,1) HELP AND SUPPORT MISSIONARIES AND HOLD SUNDAY SERVICES 2) GIVE GIFTS AND MAKE VISITS TO PEOPLE RESIDING IN NURSING HOMES 3) GIVE DONATIONS OF MONEY AND FOOD FOR HAMPERS TO THE NEEDY AT CHRISTMAS 4) CONDUCT A YOUTH PPROGRAM FOR THE AREA 5) GIVE GIFTS OF MONEY TO PEOPLE WHO HAVE HAD FIRES OR TRAGEDIES IN THE COMMUNITY 6) LEND A HELPING HAND TO THE ELDERLY AND PEOPLE IN NEED
63,106727431RR0001,Assemblée Chrétienne de Sherbrooke,www.cclapromesse.org,phone number,email,"L'Assemblée est une Église reconnue. Elle tient des cules et autres réunions pur l'édification spirituelle de ses membres. Elle aide selon ses moyens plusieurs personnes au Québec et ailleurs dans le monde qui annoncent et enseignent les doctrines de la Bible. Elle s'engage directement dans la diffusion de l'évangile parmi la population qui l'ignore. Elle aide aussi des personnes dans le besoins. Suie à la pandémie de Covid-19, nous avons ajouté la plate-forme Zoom à nos réunions de prière du mercredi ainsi que nos prédications du dimanches pour les personnes qui sont le plus vulnérables."
64,106727464RR0001,ASSEMBLEE CHRETIENNE LAMATER,WWW.ECEM.CA,phone number,email,"SERVICES RELIGIEUX TOUS LES DIMANCHES. BAPTÊMES, MARIAGES. DIVERSES RÉUNIONS D'ÉTUDES BIBLIQUES ET RÉUNIONS DE PRIÈRE, TOUTES LES SEMAINES. SERVICES DE SOUTIEN ET D'ACCOMPAGNEMENT PASTORAL. ACTIVITÉS D'ÉVANGÉLISATION. ENTRAIDE FAMILIALE. ÉDUCATION CHRÉTIENNE AUPRÈS DES ENFANTS. CONFÉRENCES DIVERSES EN VUE DE LA CROISSANCE SPIRITUELLE ET ÉMOTIONNELLE DES MEMBRES ET DES GENS DE LA COMMUNAUTÉ. GROUPE JEUNESSE : ACTIVITÉS, ENSEIGNEMENTS, SOUTIEN SPIRITUEL ET ÉMOTIONNEL. DISTRIBUTION GRATUITE DE VÊTEMENTS ET D'ARTICLES DIVERS D'OCCASION."
65,106727548RR0001,Assemblée du plein Évangile,,phone number,email,ENSEIGNER L'ÉVANGILE PAR LA PRÉDICATION. PROJET D'ÉVANGÉLISATION ET DE MISSIONS. AIDES AUX DÉMUNIS DE LA SOCIÉTÉ. VISITES DANS LES HÔPITAUX ET FOYER. ACTIVITÉS DE FRATERNISATION AVEC LA CONGRÉGATION.
66,106727589RR0001,ASSEMBLEE LUMIERE DU SOIR INC.,,phone number,email,ÉGLISE PROFESSANT LA FOI CHRÉTIENNE
67,106727696RR0001,ASSEMBLY OF GOD VERNON,,phone number,email,"WE HOLD WEEKLY PRAISE AND WORSHIP SERVICES WE SPREAD THE GOSPEL AT HOME AND THROUGH TEACHING, PREACHING AND SHARING WE MINISTER TO THE SICK, SHUT-INS, AND THE POOR"
68,106727829RR0001,ASSINIBOIA APOSTOLIC CHURCH INCORPORATED,WWW.FIREATAAC.ORG,phone number,email,"Sunday morning worship service; Children's programs (Sunday School;) Youth activities; Men's, Women's, Senior's & Couples Ministry; Worship music practice; Community outreach / helps ministry; Benevolence program; External ministry and missions support."
69,106926082RR0001,ANNAPOLIS VALLEY COMMUNITY CHURCH OF THE NAZARENE,,phone number,email,"THE CHURCH IS A LOCAL CHURCH NAMED THE ANNAPOLIS VALLEY COMMUNITY CHURCH OF THE NAZAREN. OUR CHURCH BUILDING IS LOCATED AT 738 TREMONT MOUNTAIN ROAD, TREMONT, NOVA SCOTIA. WE ARE AFFILIATED WITH A REGIONAL, NATIONAL AND INTERNATIONAL BODY, HEADQUARTERED IN MONCTON, NB, BRTAMPTON, ON AND KANSAS CITY, MO, USA RESPECTIVELY."
