name,charity data link
"Aberdeen Congregation of Jehovah's Witnesses, Kamloops, British Columbia",https://www.charitydata.ca/charity/aberdeen-congregation-of-jehovahs-witnesses-kamloops-british-columbia/765975487RR0001/
ABERDEEN MENNONITE CHURCH,https://www.charitydata.ca/charity/aberdeen-mennonite-church/106680127RR0001/
Aberdeen Mennonite Church Inc.,https://www.charitydata.ca/charity/aberdeen-mennonite-church-inc/106680085RR0001/
ABHISHEK PENTECOSTAL ASSEMBLY,https://www.charitydata.ca/charity/abhishek-pentecostal-assembly/873601694RR0001/
ABIDING PLACE MINISTRIES,https://www.charitydata.ca/charity/abiding-place-ministries/862670296RR0001/
ABIDING WORD EVANGELICAL LUTHERAN CHURCH,https://www.charitydata.ca/charity/abiding-word-evangelical-lutheran-church/118776327RR0001/
ABIDING WORD LUTHERAN CHURCH INC.,https://www.charitydata.ca/charity/abiding-word-lutheran-church-inc/711308494RR0001/
ABMCI Canada-Mission Montréal,https://www.charitydata.ca/charity/abmci-canada-mission-montreal/750430472RR0001/
ABOUNDING GRACE BAPTIST CHURCH,https://www.charitydata.ca/charity/abounding-grace-baptist-church/855913869RR0001/
ABOUNDING GRACE CHURCH,https://www.charitydata.ca/charity/abounding-grace-church/748519329RR0001/
ABOUT CHRIST MINISTRIES,https://www.charitydata.ca/charity/about-christ-ministries/782769863RR0001/
ABOVE & BEYOND MINISTRIES ASSOCIATION,https://www.charitydata.ca/charity/above-and-beyond-ministries-association/806652145RR0001/
ABOVE ALL CHRISTIAN GATHERING,https://www.charitydata.ca/charity/above-all-christian-gathering/854346905RR0001/
ABUNA AREGAWI ERITREAN ORTHODOX TEWAHDO CHURCH OF WINDSOR,https://www.charitydata.ca/charity/abuna-aregawi-eritrean-orthodox-tewahdo-church-of-windsor/752326728RR0001/
ABUNDANCE BAPTIST CHURCH,https://www.charitydata.ca/charity/abundance-baptist-church/885412403RR0001/
ABUNDANT LIFE ASSEMBLY,https://www.charitydata.ca/charity/abundant-life-assembly/106680820RR0001/
ABUNDANT LIFE BAPTIST CHURCH INC,https://www.charitydata.ca/charity/abundant-life-baptist-church-inc/132947466RR0001/
Abundant Life Center Miramichi Ltd.,https://www.charitydata.ca/charity/abundant-life-center-miramichi-ltd/118933746RR0001/
ABUNDANT LIFE CENTRE,https://www.charitydata.ca/charity/abundant-life-centre/118776459RR0001/
ABUNDANT LIFE CENTRE,https://www.charitydata.ca/charity/abundant-life-centre/891757841RR0001/
ABUNDANT LIFE CHAPEL,https://www.charitydata.ca/charity/abundant-life-chapel/106680861RR0001/
ABUNDANT LIFE CHINESE BAPTIST CHURCH,https://www.charitydata.ca/charity/abundant-life-chinese-baptist-church/835050840RR0001/
ABUNDANT LIFE CHRISTIAN CENTER,https://www.charitydata.ca/charity/abundant-life-christian-center/118776475RR0001/
ABUNDANT LIFE CHRISTIAN FELLOWSHIP,https://www.charitydata.ca/charity/abundant-life-christian-fellowship/107293607RR0001/
Abundant Life Christian Ministries Inc.,https://www.charitydata.ca/charity/abundant-life-christian-ministries-inc/850841446RR0001/
ABUNDANT LIFE CHURCH OF GOD,https://www.charitydata.ca/charity/abundant-life-church-of-god/118860857RR0001/
ABUNDANT LIFE CHURCH OF GRANDE PRAIRIE,https://www.charitydata.ca/charity/abundant-life-church-of-grande-prairie/889791729RR0001/
Abundant Life Church Society,https://www.charitydata.ca/charity/abundant-life-church-society/814807624RR0001/
ABUNDANT LIFE COMMUNITY CHURCH,https://www.charitydata.ca/charity/abundant-life-community-church/133537035RR0001/
Abundant Life Evangelical Missionary Church,https://www.charitydata.ca/charity/abundant-life-evangelical-missionary-church/779431121RR0001/
ABUNDANT LIFE LUTHERAN CHURCH INC.,https://www.charitydata.ca/charity/abundant-life-lutheran-church-inc/873687115RR0001/
"Abundant Life Lutheran Church, Calgary, Alberta",https://www.charitydata.ca/charity/abundant-life-lutheran-church-calgary-alberta/840574701RR0002/
ABUNDANT LIFE MINISTRIES OF EDMONTON INTERDENOMINATIONAL,https://www.charitydata.ca/charity/abundant-life-ministries-of-edmonton-interdenominational/131273252RR0001/
ABUNDANT LIFE PENTECOSTAL ASSEMBLY,https://www.charitydata.ca/charity/abundant-life-pentecostal-assembly/840492946RR0001/
Abundant Life Tabernacle United Pentecostal Church (Whitby),https://www.charitydata.ca/charity/abundant-life-tabernacle-united-pentecostal-church-whitby/757384698RR0001/
ABUNDANT LIFE UNITED PENTECOSTAL CHURCH INC.,https://www.charitydata.ca/charity/abundant-life-united-pentecostal-church-inc/870562832RR0001/
ABUNDANT LIFE VICTORY CHURCH,https://www.charitydata.ca/charity/abundant-life-victory-church/132521543RR0001/
Abundant Life Worship Centre,https://www.charitydata.ca/charity/abundant-life-worship-centre/106680838RR0001/
ABUNDANT LIFE WORSHIP CENTRE,https://www.charitydata.ca/charity/abundant-life-worship-centre/861552792RR0001/
"ABUNDANT SPRINGS COMMUNITY CHURCH OF PINCHER CREEK,AB",https://www.charitydata.ca/charity/abundant-springs-community-church-of-pincher-creekab/132813098RR0001/
ACACIAVILLE UNITED BAPTIST CHURCH,https://www.charitydata.ca/charity/acaciaville-united-baptist-church/106680978RR0001/
ACADIA CHARITABLE TRUST,https://www.charitydata.ca/charity/acadia-charitable-trust/139024830RR0001/
"ACADIA CONGREGATION OF JEHOVAH'S WITNESSES, CALGARY, ALBERTA",https://www.charitydata.ca/charity/acadia-congregation-of-jehovahs-witnesses-calgary-alberta/118823061RR0001/
"Acadia Spanish Congregation of Jehovah's Witnesses, Calgary,Alberta",https://www.charitydata.ca/charity/acadia-spanish-congregation-of-jehovahs-witnesses-calgaryalberta/747610889RR0001/
ACCESS COMMUNITY CHURCH OF GOD 7TH DAY,https://www.charitydata.ca/charity/access-community-church-of-god-7th-day/118860907RR0001/
ACHIEVERS FAITH INTERNATIONAL MINISTRIES,https://www.charitydata.ca/charity/achievers-faith-international-ministries/842257248RR0001/
ACME UNITED CHURCH,https://www.charitydata.ca/charity/acme-united-church/888702990RR0001/
ACTION CANADIENNE INTERNATIONALE DE BIENFAISANCE,https://www.charitydata.ca/charity/action-canadienne-internationale-de-bienfaisance/885029843RR0001/
Action catholique Montréal,https://www.charitydata.ca/charity/action-catholique-montreal/821656329RR0001/
ACTION MISSIONNAIRE MULTICULTURELLE,https://www.charitydata.ca/charity/action-missionnaire-multiculturelle/862206349RR0001/
Action Missionnaire Peuple Acquis (AMIPAC),https://www.charitydata.ca/charity/action-missionnaire-peuple-acquis-amipac/851223495RR0001/
Action souffle de vie de l'Estrie,https://www.charitydata.ca/charity/action-souffle-de-vie-de-lestrie/836860767RR0001/
ACTS 29 INCORPORATED,https://www.charitydata.ca/charity/acts-29-incorporated/853062362RR0001/
ACTS Community Worship Center Hamilton,https://www.charitydata.ca/charity/acts-community-worship-center-hamilton/820402360RR0001/
ADAMIWKA GREEK CATHOLIC HOLY GHOST CHURCH,https://www.charitydata.ca/charity/adamiwka-greek-catholic-holy-ghost-church/890175573RR0001/
ADDISON UNITED CHURCH,https://www.charitydata.ca/charity/addison-united-church/891114241RR0001/
ADMASTON PASTORAL CHARGE,https://www.charitydata.ca/charity/admaston-pastoral-charge/106685613RR0001/
ADMIRAL HOLINESS CHURCH,https://www.charitydata.ca/charity/admiral-holiness-church/889683165RR0001/
ADOLPHUSTOWN UNITED CHURCH,https://www.charitydata.ca/charity/adolphustown-united-church/118777648RR0001/
ADONAI MINISTRIES,https://www.charitydata.ca/charity/adonai-ministries/848101267RR0001/
ADONAI RESTORATION MINISTRIES INC.,https://www.charitydata.ca/charity/adonai-restoration-ministries-inc/877176305RR0001/
ADVANCE CHRISTIAN CHURCH CALGARY,https://www.charitydata.ca/charity/advance-christian-church-calgary/739185692RR0001/
ADVENT CHRISTIAN CHURCH,https://www.charitydata.ca/charity/advent-christian-church/118777820RR0001/
ADVENT LUTHERAN CHURCH,https://www.charitydata.ca/charity/advent-lutheran-church/118777887RR0001/
ADVENT LUTHERAN CHURCH,https://www.charitydata.ca/charity/advent-lutheran-church/118777903RR0001/
ADVENT LUTHERAN CHURCH,https://www.charitydata.ca/charity/advent-lutheran-church/132350349RR0001/
ADVENT LUTHURAN CHURCH,https://www.charitydata.ca/charity/advent-luthuran-church/106686603RR0001/
AENON BAPTIST CHURCH,https://www.charitydata.ca/charity/aenon-baptist-church/106686959RR0001/
Afghan Church of the GTA,https://www.charitydata.ca/charity/afghan-church-of-the-gta/731175881RR0001/
AFRICAN METHODIST EPISCOPAL CHURCH FOUNTAIN CHAPEL,https://www.charitydata.ca/charity/african-methodist-episcopal-church-fountain-chapel/726643927RR0001/
African Methodist Episcopal Church of Canada,https://www.charitydata.ca/charity/african-methodist-episcopal-church-of-canada/890096191RR0001/
Agape Chinese Bible Church,https://www.charitydata.ca/charity/agape-chinese-bible-church/769974940RR0001/
AGAPE CHINESE CHRISTIAN CHURCH,https://www.charitydata.ca/charity/agape-chinese-christian-church/865470298RR0001/
AGAPE CHRISTIAN CHURCH,https://www.charitydata.ca/charity/agape-christian-church/892205048RR0001/
AGAPE CHURCH BURNABY,https://www.charitydata.ca/charity/agape-church-burnaby/836931717RR0001/
AGAPE FELLOWSHIP,https://www.charitydata.ca/charity/agape-fellowship/118778380RR0001/
AGAPE FELLOWSHIP CENTRE,https://www.charitydata.ca/charity/agape-fellowship-centre/817348477RR0001/
AGAPE FELLOWSHIP SOCIETY,https://www.charitydata.ca/charity/agape-fellowship-society/894200864RR0001/
AGAPE FULL SALVATION CHURCH INC.,https://www.charitydata.ca/charity/agape-full-salvation-church-inc/770060705RR0001/
Agape House Ministries Canada Inc.,https://www.charitydata.ca/charity/agape-house-ministries-canada-inc/830837209RR0001/
"AGAPE INTERNATIONAL PENTECOSTAL CHURCH, CALGARY",https://www.charitydata.ca/charity/agape-international-pentecostal-church-calgary/813200052RR0001/
AGAPE LOVE CHRISTIAN CHURCH,https://www.charitydata.ca/charity/agape-love-christian-church/702624313RR0001/
AGAPE MINISTRIES,https://www.charitydata.ca/charity/agape-ministries/890565146RR0001/
AGAPE MISSION OF CANADA,https://www.charitydata.ca/charity/agape-mission-of-canada/856217906RR0001/
Agape New Life Fellowship Inc.,https://www.charitydata.ca/charity/agape-new-life-fellowship-inc/805693116RR0001/
AGAPE OASIS DE AMOR,https://www.charitydata.ca/charity/agape-oasis-de-amor/821103116RR0001/
"AGAPE RESTORATION OUTREACH CENTRE, INC",https://www.charitydata.ca/charity/agape-restoration-outreach-centre-inc/890144975RR0001/
"Agassiz Congregation of Jehovah's Witnesses, Agassiz, British Columbia",https://www.charitydata.ca/charity/agassiz-congregation-of-jehovahs-witnesses-agassiz-british-columbia/765839311RR0001/
Agassiz United Church,https://www.charitydata.ca/charity/agassiz-united-church/132643883RR0001/
AGINCOURT BAPTIST CHURCH,https://www.charitydata.ca/charity/agincourt-baptist-church/118778588RR0001/
AGINCOURT CHURCH OF GOD INC,https://www.charitydata.ca/charity/agincourt-church-of-god-inc/893165167RR0001/
"Agincourt Congregation of Jehovah's Witnesses, Toronto, Ontario",https://www.charitydata.ca/charity/agincourt-congregation-of-jehovahs-witnesses-toronto-ontario/745185686RR0001/
AGINCOURT GOSPEL HALL,https://www.charitydata.ca/charity/agincourt-gospel-hall/841592686RR0001/
Agora Network Ministries,https://www.charitydata.ca/charity/agora-network-ministries/712036672RR0001/
AGRICOLA COMMUNITY CHURCH FELLOWSHIP,https://www.charitydata.ca/charity/agricola-community-church-fellowship/809459357RR0001/
AGRICOLA FINNISH LUTHERAN CONGREGATION,https://www.charitydata.ca/charity/agricola-finnish-lutheran-congregation/135773810RR0001/
AGUDAT CHASIDEI CHABAD-ONTARIO,https://www.charitydata.ca/charity/agudat-chasidei-chabad-ontario/868959263RR0001/
AHAVA MINISTRIES FELLOWSHIP,https://www.charitydata.ca/charity/ahava-ministries-fellowship/767671886RR0001/
AHN NEONG CHURCH,https://www.charitydata.ca/charity/ahn-neong-church/826178097RR0001/
AID TO SPECIAL SAINTS IN STRATEGIC TIMES,https://www.charitydata.ca/charity/aid-to-special-saints-in-strategic-times/892128265RR0001/
AILSA CRAIG & AREA FOODBANK & THRIFT STORE,https://www.charitydata.ca/charity/ailsa-craig-and-area-foodbank--thrift-store/871375721RR0001/
AILSA CRAIG UNITED CHURCH,https://www.charitydata.ca/charity/ailsa-craig-united-church/118779149RR0001/
AIR RONGE PENTECOSTAL CHURCH,https://www.charitydata.ca/charity/air-ronge-pentecostal-church/870327731RR0001/
AIRDRIE BAPTIST CHURCH,https://www.charitydata.ca/charity/airdrie-baptist-church/775472475RR0001/
AIRDRIE DYNAMIC LIFE FELLOWSHIP,https://www.charitydata.ca/charity/airdrie-dynamic-life-fellowship/766542120RR0001/
AIRDRIE PASTORAL CHARGE,https://www.charitydata.ca/charity/airdrie-pastoral-charge/130172521RR0001/
AIRDRIE SEVENTH-DAY ADVENTIST CHURCH,https://www.charitydata.ca/charity/airdrie-seventh-day-adventist-church/118779883RR0001/
AIRDRIE SUNSET TABERNACLE,https://www.charitydata.ca/charity/airdrie-sunset-tabernacle/793688102RR0001/
AIRDRIE VICTORY FELLOWSHIP,https://www.charitydata.ca/charity/airdrie-victory-fellowship/894147735RR0001/
AIRPORT CHARITABLE TRUST,https://www.charitydata.ca/charity/airport-charitable-trust/861458263RR0001/
AJAX ALLIANCE CHURCH OF THE CHRISTIAN AND MISSIONARY ALLIANCE IN CANADA,https://www.charitydata.ca/charity/ajax-alliance-church-of-the-christian-and-missionary-alliance-in-canada/775809957RR0001/
AJAX BAPTIST CHURCH,https://www.charitydata.ca/charity/ajax-baptist-church/106690597RR0001/
Ajax Church of God,https://www.charitydata.ca/charity/ajax-church-of-god/828226233RR0001/
AJAX CONNECT CHURCH OF THE NAZARENE,https://www.charitydata.ca/charity/ajax-connect-church-of-the-nazarene/774291082RR0001/
Ajax Lighthouse,https://www.charitydata.ca/charity/ajax-lighthouse/784342669RR0001/
AKPOBASA GLOBAL MINISTRIES,https://www.charitydata.ca/charity/akpobasa-global-ministries/835990086RR0001/
AL-FURQAAN FOUNDATION CANADA,https://www.charitydata.ca/charity/al-furqaan-foundation-canada/807611298RR0001/
ALABASTER HEART MISSIONS INTERNATIONAL INC.,https://www.charitydata.ca/charity/alabaster-heart-missions-international-inc/777096264RR0001/
Alameda Pastoral Charge,https://www.charitydata.ca/charity/alameda-pastoral-charge/118780048RR0001/
ALBANY COMMUNITY CHURCH SOCIETY,https://www.charitydata.ca/charity/albany-community-church-society/891787780RR0001/
ALBERNI VALLEY CHRISTIAN REFORMED CHURCH,https://www.charitydata.ca/charity/alberni-valley-christian-reformed-church/107385676RR0001/
ALBERNI VALLEY UNITED CHURCH,https://www.charitydata.ca/charity/alberni-valley-united-church/108006511RR0001/
ALBERT MINES UNITED BAPTIST CHURCH,https://www.charitydata.ca/charity/albert-mines-united-baptist-church/118781350RR0001/
"ALBERT STREET GOSPEL HALL,",https://www.charitydata.ca/charity/albert-street-gospel-hall/118781426RR0001/
ALBERTA & NWT DISTRICT OF THE PENTECOSTAL ASSEMBLIES OF CANADA,https://www.charitydata.ca/charity/alberta-and-nwt-district-of-the-pentecostal-assemblies-of-canada/118780279RR0001/
ALBERTA CHARITABLE SOCIETY OF ST. PIUS X,https://www.charitydata.ca/charity/alberta-charitable-society-of-st-pius-x/891240079RR0001/
Alberta Circuit 1A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-1a-of-jehovahs-witnesses/744554288RR0001/
Alberta Circuit 1B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-1b-of-jehovahs-witnesses/764976288RR0001/
Alberta Circuit 1C of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-1c-of-jehovahs-witnesses/764347712RR0001/
Alberta Circuit 2-A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-2-a-of-jehovahs-witnesses/764348314RR0001/
Alberta Circuit 2B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-2b-of-jehovahs-witnesses/764969085RR0001/
Alberta Circuit 2C of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-2c-of-jehovahs-witnesses/764343117RR0001/
Alberta Circuit 3A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-3a-of-jehovahs-witnesses/764980280RR0001/
Alberta Circuit 3B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-3b-of-jehovahs-witnesses/764966883RR0001/
Alberta Circuit 3C of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-3c-of-jehovahs-witnesses/764340113RR0001/
Alberta Circuit 4A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-4a-of-jehovahs-witnesses/764340717RR0001/
Alberta Circuit 4B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-4b-of-jehovahs-witnesses/764342515RR0001/
Alberta Circuit 4C of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-4c-of-jehovahs-witnesses/764344313RR0001/
Alberta Circuit 5A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-5a-of-jehovahs-witnesses/764342317RR0001/
Alberta Circuit 5B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-5b-of-jehovahs-witnesses/764349718RR0001/
Alberta Circuit 6A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-6a-of-jehovahs-witnesses/748142510RR0001/
Alberta Circuit 6B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-6b-of-jehovahs-witnesses/764971081RR0001/
Alberta Circuit 7A of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-7a-of-jehovahs-witnesses/764341715RR0001/
Alberta Circuit 7B of Jehovah's Witnesses,https://www.charitydata.ca/charity/alberta-circuit-7b-of-jehovahs-witnesses/764975082RR0001/
ALBERTA CONFERENCE OF MENNONITE BRETHERN CHURCHES,https://www.charitydata.ca/charity/alberta-conference-of-mennonite-brethern-churches/108070822RR0001/
ALBERTA PARKLAND DISTRICT OF THE EVANGELICAL FREE CHURCH OF CANADA,https://www.charitydata.ca/charity/alberta-parkland-district-of-the-evangelical-free-church-of-canada/118780980RR0001/
ALBERTA SYNOD EVANGELICAL LUTHERAN CHURCH IN CANADA,https://www.charitydata.ca/charity/alberta-synod-evangelical-lutheran-church-in-canada/130559404RR0001/
ALBERTON BAPTIST CHURCH,https://www.charitydata.ca/charity/alberton-baptist-church/106703382RR0001/
"Alberton Congregation of Jehovah's Witnesses, Alberton, Prince Edward Island",https://www.charitydata.ca/charity/alberton-congregation-of-jehovahs-witnesses-alberton-prince-edward-island/747935112RR0001/
ALBERTON PRESBYTERIAN CHURCH,https://www.charitydata.ca/charity/alberton-presbyterian-church/118781392RR0001/
Alberton United Pentecostal Church Inc.,https://www.charitydata.ca/charity/alberton-united-pentecostal-church-inc/737007120RR0001/
ALBERTON-ELMSDALE PASTORAL CHARGE,https://www.charitydata.ca/charity/alberton-elmsdale-pastoral-charge/867619058RR0001/
ALBERTOWN ST. PETER AND ST. PAUL UKRAINIAN CATHOLIC CHURCH,https://www.charitydata.ca/charity/albertown-st-peter-and-st-paul-ukrainian-catholic-church/825585540RR0001/
"Albion Falls Congregation of Jehovah's Witnesses, Hamilton, Ontario",https://www.charitydata.ca/charity/albion-falls-congregation-of-jehovahs-witnesses-hamilton-ontario/747864882RR0001/
"Alborozo Congregation of Jehovah's Witnesses, Toronto, Ontario",https://www.charitydata.ca/charity/alborozo-congregation-of-jehovahs-witnesses-toronto-ontario/745149682RR0001/
Albright Church Inc.,https://www.charitydata.ca/charity/albright-church-inc/850021429RR0001/
ALDERBROOK COMMUNITY CHURCH,https://www.charitydata.ca/charity/alderbrook-community-church/868760307RR0001/
ALDERGROVE ALLIANCE CHURCH,https://www.charitydata.ca/charity/aldergrove-alliance-church/106696537RR0001/
"Aldergrove Congregation of Jehovah's Witnesses, Aldergrove, British Columbia",https://www.charitydata.ca/charity/aldergrove-congregation-of-jehovahs-witnesses-aldergrove-british-columbia/765273115RR0001/
ALDERGROVE GOSPEL CHAPEL,https://www.charitydata.ca/charity/aldergrove-gospel-chapel/887979243RR0001/
ALDERGROVE UNITED CHURCH,https://www.charitydata.ca/charity/aldergrove-united-church/133449223RR0001/
"Aldershot Congregation of Jehovah's Witnesses, Burlington, Ontario",https://www.charitydata.ca/charity/aldershot-congregation-of-jehovahs-witnesses-burlington-ontario/745604488RR0001/
ALDERVILLE UNITED CHURCH,https://www.charitydata.ca/charity/alderville-united-church/118781855RR0001/
"Alderwood Congregation of Jehovah's Witnesses, Toronto, Ont ario",https://www.charitydata.ca/charity/alderwood-congregation-of-jehovahs-witnesses-toronto-ont-ario/744636317RR0001/
ALDERWOOD UNITED CHURCH,https://www.charitydata.ca/charity/alderwood-united-church/106696784RR0001/
"Alegria Congregation of Jehovah's Witnesses, Toronto, Ontario",https://www.charitydata.ca/charity/alegria-congregation-of-jehovahs-witnesses-toronto-ontario/744595711RR0001/
ALEXANDER PASTORAL CHARGE,https://www.charitydata.ca/charity/alexander-pastoral-charge/887860260RR0001/
"ALEXANDRA PRESBYTERIAN CHURCH,",https://www.charitydata.ca/charity/alexandra-presbyterian-church/118782069RR0001/
ALEXANDRA UNITED BAPTIST CHURCH,https://www.charitydata.ca/charity/alexandra-united-baptist-church/118782077RR0001/
"ALEXANDRIA UNITED CHURCH,",https://www.charitydata.ca/charity/alexandria-united-church/118782101RR0001/
ALEXIS PARK CHURCH,https://www.charitydata.ca/charity/alexis-park-church/107293672RR0001/
ALGONQUIN COLLEGE CAMPUS MINISTRY,https://www.charitydata.ca/charity/algonquin-college-campus-ministry/854257003RR0001/
ALIVE CHURCH CANADA,https://www.charitydata.ca/charity/alive-church-canada/107771370RR0001/
ALIVE CHURCH OF MONTRÉAL/ÉGLISE VIVANTE DE MONTRÉAL,https://www.charitydata.ca/charity/alive-church-of-montrealglise-vivante-de-montral/788745941RR0001/
Alive Family Church,https://www.charitydata.ca/charity/alive-family-church/119192565RR0001/
ALIVE NATION CHURCH EDMONTON,https://www.charitydata.ca/charity/alive-nation-church-edmonton/710817289RR0001/
ALIX CHARITABLE TRUST,https://www.charitydata.ca/charity/alix-charitable-trust/140784513RR0001/
ALIX EVANGELICAL FREE CHURCH,https://www.charitydata.ca/charity/alix-evangelical-free-church/106700198RR0001/
